tx2,gene.name
transcript/153,arhgef18b
transcript/154,eif4g3b
transcript/155,btaf1
transcript/156,arhgef12b
transcript/157,myof
transcript/158,gad2
transcript/159,cltca
transcript/160,enschap00000014454
transcript/161,pcbp3
transcript/162,uacab
transcript/163,pik3c2a
transcript/164,ppp1r9ala
transcript/165,abcc1
transcript/166,prpf4ba
transcript/167,rnf24
transcript/168,prex2
transcript/169,tasorb
transcript/170,mbd5
transcript/171,cltca
transcript/172,myo18ab
transcript/173,nacad
transcript/174,kdm2aa
transcript/175,cita
transcript/176,pde4d
transcript/177,hcfc1
transcript/178,pan1
transcript/179,tiam2
transcript/180,anapc1
transcript/181,kcnh6a
transcript/182,helz
transcript/183,kidins220b
transcript/184,wdr38
transcript/185,vwa8
transcript/186,ubr2
transcript/187,zc3h13
transcript/188,dpysl2
transcript/189,si:ch211-256m1.8
transcript/190,vwf
transcript/191,tmem131
transcript/192,hcfc1
transcript/193,nrip1
transcript/194,pcbp3
transcript/195,znf646
transcript/196,madd
transcript/197,bod1l
transcript/198,kdm2aa
transcript/199,eif4g1a
transcript/200,smyhc3
transcript/201,bod1l
transcript/202,dpysl2b
transcript/203,gad2
transcript/204,enschap00000028507
transcript/205,pcbp3
transcript/206,pcbp3
transcript/207,myh11a
transcript/208,znf646
transcript/209,myh7
transcript/210,smyhc3
transcript/211,kidins220b
transcript/212,nup205
transcript/213,nup188
transcript/214,araf
transcript/215,kcnh6a
transcript/216,ints1
transcript/217,hip1
transcript/218,atp1a3a
transcript/219,synpo2
transcript/220,dnmt3ba
transcript/221,tlr7
transcript/222,ift172
transcript/223,per1b
transcript/224,dpysl2
transcript/225,ankrd50l
transcript/226,micall1a
transcript/227,kidins220a
transcript/228,flna
transcript/229,smyhc3
transcript/230,eif4g1a
transcript/231,synpo2lb
transcript/232,cntn1
transcript/233,anapc1
transcript/234,cntn1a
transcript/235,man2a1
transcript/236,akap9
transcript/237,nfatc3a
transcript/238,fo744833.2
transcript/239,kdm2aa
transcript/240,rad54l2
transcript/241,bcr
transcript/242,synpo2
transcript/243,plekhg4
transcript/244,eif4g3b
transcript/245,mon2
transcript/246,man2a1
transcript/247,tnc
transcript/248,enschap00000032930
transcript/249,mrc1b
transcript/250,mon2
transcript/251,lamb1a
transcript/252,cpda
transcript/253,eif4g1a
transcript/254,sbf1
transcript/255,synpo2
transcript/256,myh7
transcript/257,kidins220a
transcript/258,cltca
transcript/259,eif4g3b
transcript/260,nisch
transcript/261,tgfbr1b
transcript/262,slc7a14a
transcript/263,cltca
transcript/264,cpeb4a
transcript/265,iqgap2
transcript/266,srebf2
transcript/267,rabl6a
transcript/268,eif4g3b
transcript/269,col4a6
transcript/270,myhb
transcript/271,kidins220b
transcript/272,anapc1
transcript/273,supt6h
transcript/274,eif4g3b
transcript/275,lamb1a
transcript/276,mapkbp1
transcript/277,ank1b
transcript/278,kcnh6a
transcript/279,tnksb
transcript/280,carmil1
transcript/281,virma
transcript/282,adgra1
transcript/283,pik3cb
transcript/284,hnrnpul1
transcript/285,kidins220b
transcript/286,pdcd11
transcript/287,lrp1aa
transcript/288,eprs1
transcript/289,iqgap2
transcript/290,dock1
transcript/291,cltca
transcript/292,cgnb
transcript/293,mib1
transcript/294,kdm6a
transcript/295,sema4c
transcript/296,kidins220a
transcript/297,stag2b
transcript/298,snx30
transcript/299,btbd8
transcript/300,pappaa
transcript/301,tmod2
transcript/302,cemip2
transcript/303,slc4a2a
transcript/304,mia3
transcript/305,svilc
transcript/306,farp1
transcript/307,cyfip2
transcript/308,tnksb
transcript/309,pdcd11
transcript/310,ankrd50l
transcript/311,enschap00000029610
transcript/312,kdrl
transcript/313,myha
transcript/314,ddb_g0287625
transcript/315,helz
transcript/316,myha
transcript/317,myh6
transcript/318,myha
transcript/319,enschap00000029577
transcript/320,kidins220a
transcript/321,itga9
transcript/322,enschap00000006808
transcript/323,cu861477.1
transcript/324,myhb
transcript/325,smyhc3
transcript/326,myhb
transcript/327,myh11a
transcript/328,myha
transcript/329,smyhc3
transcript/330,myha
transcript/331,enschap00000029610
transcript/332,slc4a7
transcript/333,smyhc3
transcript/334,myha
transcript/335,pikfyve
transcript/336,itga1
transcript/337,myha
transcript/338,smyhc3
transcript/339,smyhc3
transcript/340,myhb
transcript/341,tnika
transcript/342,abcc1
transcript/343,smyhc3
transcript/344,myh7
transcript/345,smyhc3
transcript/346,lo018340.1
transcript/347,ltn1
transcript/348,smyhc3
transcript/349,myh11a
transcript/350,kidins220b
transcript/351,tnksb
transcript/352,nup153
transcript/353,tecpr1a
transcript/354,cadm2a
transcript/355,top2a
transcript/356,kansl1b
transcript/357,iqgap2
transcript/358,sema3gb
transcript/359,arhgap35b
transcript/360,farp2
transcript/361,cacnb4
transcript/362,ccdc141
transcript/363,mbd5
transcript/364,sbf1
transcript/365,fam131bb
transcript/366,ppfia3
transcript/367,rhbdl1
transcript/368,dctn1a
transcript/369,col2a1a
transcript/370,smyhc3
transcript/371,grid2
transcript/372,dctn1a
transcript/373,mst1ra
transcript/374,ankrd44
transcript/375,enschap00000005579
transcript/376,nup153
transcript/377,enschap00000053765
transcript/378,chst8
transcript/379,ptprd
transcript/380,parp4
transcript/381,upf1
transcript/382,nup153
transcript/383,glceb
transcript/384,tbc1d9
transcript/385,mon2
transcript/386,svilc
transcript/387,sos1
transcript/388,glg1a
transcript/389,spag9a
transcript/390,stard13b
transcript/391,mrc1b
transcript/392,znf423
transcript/393,znf423
transcript/394,ccdc141
transcript/395,myh7
transcript/396,baz1b
transcript/397,cdc42bpb
transcript/398,cu861477.1
transcript/399,fp102018.1
transcript/400,mon2
transcript/401,ankrd50l
transcript/402,plekha6
transcript/403,fam196b
transcript/404,usp19
transcript/405,abl1
transcript/406,hcfc1b
transcript/407,dctn1a
transcript/408,myo1b
transcript/409,ddb_g0287625
transcript/410,zc3h6
transcript/411,adam10a
transcript/412,sfswap
transcript/413,mprip
transcript/414,myhb
transcript/415,dync1h1
transcript/416,enschap00000053765
transcript/417,usp19
transcript/418,col11a1a
transcript/419,top2a
transcript/420,lamc1
transcript/421,smyhc3
transcript/422,tshz1
transcript/423,pcdh1g13
transcript/424,lpar1
transcript/425,mst1ra
transcript/426,rnf157
transcript/427,ltn1
transcript/428,tbc1d9
transcript/429,si:ch211-219a4.3
transcript/430,shroom2
transcript/431,cr855996.2
transcript/432,ecpas
transcript/433,mapk8ip3
transcript/434,top2a
transcript/435,cgnl1
transcript/436,tbc1d2b
transcript/437,pbrm1
transcript/438,adcy1b
transcript/439,cu861477.1
transcript/440,hcfc1
transcript/441,ndst1b
transcript/442,snrnp200
transcript/443,cabz01072242.1
transcript/444,kansl3
transcript/445,wbp1
transcript/446,cabz01088484.1
transcript/447,nin
transcript/448,clasp2
transcript/449,dima
transcript/450,stk35l
transcript/451,plxnc1
transcript/452,parp4
transcript/453,rasal2
transcript/454,ppm1k
transcript/455,smg7
transcript/456,hcfc1
transcript/457,thoc2
transcript/458,mapk8ip3
transcript/459,lrp6
transcript/460,tbc1d9
transcript/461,ampd1
transcript/462,auts2a
transcript/463,pcdh9
transcript/464,rin3
transcript/465,svilc
transcript/466,synrg
transcript/467,dock1
transcript/468,sec31b
transcript/469,ppl
transcript/470,zgc:91849
transcript/471,kank1a
transcript/472,fam135a
transcript/473,crb1
transcript/474,rin3
transcript/475,si:dkey-229b18.3
transcript/476,rictorb
transcript/477,sec14l1
transcript/478,tnksb
transcript/479,clasp2
transcript/480,sec14l1
transcript/481,ubr1
transcript/482,slc2a3a
transcript/483,hnrnpl
transcript/484,pola1
transcript/485,col2a1a
transcript/486,herc2
transcript/487,smyhc3
transcript/488,flncb
transcript/489,rusc1
transcript/490,lgalslb
transcript/491,stard8
transcript/492,col2a1a
transcript/493,znf341
transcript/494,enschap00000003398
transcript/495,top2a
transcript/496,znf217
transcript/497,smarcc1a
transcript/498,synrg
transcript/499,col2a1a
transcript/500,stox2b
transcript/501,sfswap
transcript/502,sec31b
transcript/503,anks1a
transcript/504,pwwp2a
transcript/505,kank1a
transcript/506,cacna2d2a
transcript/507,med26
transcript/508,ubr3
transcript/509,clasp2
transcript/510,col2a1a
transcript/511,kdm4c
transcript/512,myhb
transcript/513,pbrm1l
transcript/514,spen
transcript/515,akap9
transcript/516,pank1b
transcript/517,sorbs1
transcript/518,pcdh1g13
transcript/519,nectin1b
transcript/520,col2a1a
transcript/521,extl3
transcript/522,lamp2
transcript/523,ppp1r9bb
transcript/524,col2a1a
transcript/525,lamb1a
transcript/526,top2b
transcript/527,map4k4
transcript/528,cntn2
transcript/529,cdh24a
transcript/530,myo1b
transcript/531,synpo2la
transcript/532,fhod1
transcript/533,myo6a
transcript/534,eif4g1a
transcript/535,si:ch211-282j22.3
transcript/536,ehbp1l1
transcript/537,tnksb
transcript/538,pcdh1g13
transcript/539,ecpas
transcript/540,cntn2
transcript/541,si:ch211-266o15.1
transcript/542,cttnbp2
transcript/543,atp2b3a
transcript/544,apob
transcript/545,snap91
transcript/546,mical2b
transcript/547,elk4
transcript/548,dnm2a
transcript/549,hcfc1
transcript/550,hcfc1
transcript/551,golga3
transcript/552,map3k3
transcript/553,ehbp1
transcript/554,lnpep
transcript/555,enschap00000000305
transcript/556,nudt3a
transcript/557,pde4dip
transcript/558,sptan1
transcript/559,pcdh1g13
transcript/560,vps9d1
transcript/561,sec31a
transcript/562,pcdh1g13
transcript/563,pbrm1l
transcript/564,soga3a
transcript/565,extl3
transcript/566,ptprm
transcript/567,myh10
transcript/568,syt1a
transcript/569,homer1
transcript/570,ptprm
transcript/571,usp43b
transcript/572,cabz01015105.1
transcript/573,rev1
transcript/574,anks1
transcript/575,svep1
transcript/576,dlec1
transcript/577,rbfox1l
transcript/578,ap2a2
transcript/579,dnm2a
transcript/580,gnptab
transcript/581,eif4g3b
transcript/582,cblb
transcript/583,fam135a
transcript/584,mtmr4
transcript/585,hcfc1b
transcript/586,arhgap5
transcript/587,clasp2
transcript/588,eps15l1a
transcript/589,kdm4c
transcript/590,wbp1
transcript/591,thoc2
transcript/592,atp10a
transcript/593,cacna2d2a
transcript/594,cu861477.1
transcript/595,znf646
transcript/596,tln1
transcript/597,trim9
transcript/598,dnm2a
transcript/599,ythdc2
transcript/600,hhip
transcript/601,lama3
transcript/602,cabz01072242.1
transcript/603,hcfc1b
transcript/604,cep152
transcript/605,ncam1a
transcript/606,rab3gap2
transcript/607,arid2
transcript/608,hcfc1
transcript/609,ddx17
transcript/610,myom1b
transcript/611,magi1b
transcript/612,sgsm2
transcript/613,mfhas1
transcript/614,dpp6b
transcript/615,wbp1
transcript/616,znf687a
transcript/617,cluha
transcript/618,rfx7b
transcript/619,nudt3
transcript/620,znf865
transcript/621,myom1b
transcript/622,rbm20
transcript/623,myo1cb
transcript/624,aak1b
transcript/625,myh7
transcript/626,rbm39b
transcript/627,mst1ra
transcript/628,ptk7
transcript/629,btbd11b
transcript/630,sh3pxd2b
transcript/631,pald1a
transcript/632,mtus1a
transcript/633,ube4b
transcript/634,n4bp2
transcript/635,anks1a
transcript/636,anks1a
transcript/637,srrm2
transcript/638,virma
transcript/639,ehbp1
transcript/640,kidins220a
transcript/641,col4a6
transcript/642,fam160b1
transcript/643,col2a1a
transcript/644,pik3r2
transcript/645,kif5c
transcript/646,macf1
transcript/647,tjp1a
transcript/648,kdm4c
transcript/649,slc43a2a
transcript/650,chka
transcript/651,smyhc3
transcript/652,hcfc1b
transcript/653,synpo2la
transcript/654,slc43a2a
transcript/655,lo017802.1
transcript/656,nup205
transcript/657,kdm6a
transcript/658,eif2ak4
transcript/659,tsc2
transcript/660,zgc:162509
transcript/661,rasgrf1
transcript/662,sec31b
transcript/663,nup58
transcript/664,si:ch211-167b20.8
transcript/665,tmem201
transcript/666,rxraa
transcript/667,sipa1l2
transcript/668,cfap44
transcript/669,mib2
transcript/670,tbc1d9b
transcript/671,nrip1
transcript/672,fam160a1a
transcript/673,stag1a
transcript/674,hdac6
transcript/675,smyhc3
transcript/676,rnf157
transcript/677,pol
transcript/678,tiam2
transcript/679,ank1
transcript/680,ap2a1
transcript/681,si:ch211-266o15.1
transcript/682,sin3ab
transcript/683,rab3gap2
transcript/684,si:dkey-157l19.2
transcript/685,fam135a
transcript/686,esyt1
transcript/687,shda
transcript/688,mical3a
transcript/689,ptprm
transcript/690,cu639469.1
transcript/691,znf687b
transcript/692,arid2
transcript/693,kcnh4
transcript/694,kdr
transcript/695,adcy6b
transcript/696,flncb
transcript/697,myom1b
transcript/698,mfhas1
transcript/699,epha4a
transcript/700,leng8
transcript/701,tshz3b
transcript/702,dclk2a
transcript/703,cps1
transcript/704,clk2a
transcript/705,cramp1
transcript/706,slc7a14a
transcript/707,thoc2
transcript/708,mbnl1
transcript/709,klhl22
transcript/710,cdk12
transcript/711,atp10a
transcript/712,dclk2a
transcript/713,fam196b
transcript/714,rnf157
transcript/715,atp2b3b
transcript/716,dima
transcript/717,cramp1
transcript/718,kdm7ab
transcript/719,ranbp3
transcript/720,slc7a14a
transcript/721,xrn1
transcript/722,thoc2
transcript/723,col1a2
transcript/724,synpo2la
transcript/725,abca5
transcript/726,fem1c
transcript/727,adcy6b
transcript/728,si:dkey-73n10.1
transcript/729,epb41b
transcript/730,kank2
transcript/731,enschap00000035744
transcript/732,sbno1
transcript/733,znf423
transcript/734,aff3
transcript/735,baz1a
transcript/736,fubp1
transcript/737,kank1a
transcript/738,zbtb47a
transcript/739,rabep1
transcript/740,mcc
transcript/741,ak9
transcript/742,znf687b
transcript/743,ythdc2
transcript/744,lrp6
transcript/745,itprid2
transcript/746,col18a1
transcript/747,rgl1
transcript/748,clasp2
transcript/749,upf1
transcript/750,enschap00000016476
transcript/751,mbd3b
transcript/752,enschap00000000305
transcript/753,usp8
transcript/754,grm2b
transcript/755,sema5a
transcript/756,lats1
transcript/757,apobb.1
transcript/758,tmem248
transcript/759,si:ch211-185a18.2
transcript/760,lamb1a
transcript/761,herc3
transcript/762,syn2
transcript/763,cep85l
transcript/764,atp2b3a
transcript/765,dclk2a
transcript/766,bx547930.4
transcript/767,rab3gap2
transcript/768,mtmr11
transcript/769,si:ch211-169p10.1
transcript/770,rspo1
transcript/771,atp2b4
transcript/772,med26
transcript/773,sema4f
transcript/774,enschap00000010297
transcript/775,myom1b
transcript/776,thoc2
transcript/777,zcchc2
transcript/778,lrrc8ab
transcript/779,appb
transcript/780,zgc:91849
transcript/781,itprid2
transcript/782,rabep1
transcript/783,znf516
transcript/784,ddr1
transcript/785,ehmt1b
transcript/786,fasn
transcript/787,ctdp1
transcript/788,smyhc3
transcript/789,hhip
transcript/790,clasp2
transcript/791,atp11b
transcript/792,slc12a7b
transcript/793,sh3pxd2b
transcript/794,atp2b3b
transcript/795,atp2b3a
transcript/796,synpo2la
transcript/797,robo3
transcript/798,kif5c
transcript/799,rab3gap2
transcript/800,astn2
transcript/801,abcb11a
transcript/802,fam160a2
transcript/803,hdac6
transcript/804,heatr5b
transcript/805,kidins220a
transcript/806,usta
transcript/807,kdm5a
transcript/808,lin7c
transcript/809,tshz1
transcript/810,dpp6b
transcript/811,camta1a
transcript/812,clip1
transcript/813,ctdp1
transcript/814,enschap00000050993
transcript/815,col4a6
transcript/816,clasp2
transcript/817,fndc3a
transcript/818,col18a1a
transcript/819,arid5b
transcript/820,kdm6a
transcript/821,mtus1a
transcript/822,thoc2
transcript/823,slc4a4b
transcript/824,tex2
transcript/825,enschap00000050993
transcript/826,znf516
transcript/827,lin7b
transcript/828,hdlbpa
transcript/829,enschap00000055906
transcript/830,ctdp1
transcript/831,fam135a
transcript/832,zgc:158564
transcript/833,pald1a
transcript/834,shroom1
transcript/835,myh7
transcript/836,cabz01009512.1
transcript/837,syn3
transcript/838,kdm7ab
transcript/839,maptb
transcript/840,grin3ba
transcript/841,pikfyve
transcript/842,kif20bb
transcript/843,lrp5
transcript/844,pcdh1g13
transcript/845,tcf3a
transcript/846,rc3h2
transcript/847,synpo
transcript/848,cluh
transcript/849,fam196b
transcript/850,ppp1r3aa
transcript/851,enschap00000016476
transcript/852,kdm5bb
transcript/853,clip1
transcript/854,eps15l1a
transcript/855,zscan29
transcript/856,ehmt1b
transcript/857,tnxb
transcript/858,ranbp3
transcript/859,znf335
transcript/860,atp2b3a
transcript/861,lrmp
transcript/862,zgc:63587
transcript/863,acap1
transcript/864,arid2
transcript/865,ank3b
transcript/866,col1a2
transcript/867,arhgap18
transcript/868,kdm2aa
transcript/870,col1a1
transcript/871,myom1b
transcript/872,ehmt1b
transcript/873,sall2
transcript/874,ppp1r13bb
transcript/875,hdac6
transcript/876,si:ch211-203d1.3
transcript/877,ano11
transcript/878,lats1
transcript/879,f8
transcript/880,enschap00000057702
transcript/881,enschap00000035744
transcript/882,si:dkey-25o16.4
transcript/883,kdm6a
transcript/884,zgc:77151
transcript/885,ddr1
transcript/886,top2b
transcript/887,cps1
transcript/888,fn1b
transcript/889,pank1a
transcript/890,atp2b3a
transcript/891,mib2
transcript/892,rbm14
transcript/893,enschap00000016476
transcript/894,sema6d
transcript/895,cyth1
transcript/896,zhx1
transcript/897,mbnl1
transcript/898,zmp:0000000735
transcript/899,tiam2
transcript/900,eml4
transcript/901,si:ch211-230g15.5
transcript/902,scaf1
transcript/903,zgc:91849
transcript/904,lin54
transcript/905,polh
transcript/906,vldlr
transcript/907,hdlbpa
transcript/908,ubxn11
transcript/909,smyhc3
transcript/910,zgc:158564
transcript/911,cntn2
transcript/912,plcd3b
transcript/913,adgre5b.3
transcript/914,adcy6a
transcript/915,cep170b
transcript/916,cabz01032476.1
transcript/917,kif14
transcript/918,zgc:77151
transcript/919,ddr1
transcript/920,tnc
transcript/921,sall2
transcript/922,ythdc2
transcript/923,cabz01072242.1
transcript/924,robo3
transcript/925,bx649434.3
transcript/926,znf516
transcript/927,fn1b
transcript/928,gnptab
transcript/929,grin1b
transcript/930,fmnl2a
transcript/931,ubn2
transcript/932,lrmp
transcript/933,lrp6
transcript/934,ctdp1
transcript/935,enschap00000006333
transcript/936,sos1
transcript/937,appb
transcript/938,enschap00000011719
transcript/939,zeb2a
transcript/940,sik1
transcript/941,cltca
transcript/942,pcdh12
transcript/943,lamb1a
transcript/944,lin54
transcript/945,apob
transcript/946,thoc2
transcript/947,mst1ra
transcript/948,fam196b
transcript/949,pola1
transcript/950,garre1
transcript/951,nbr1a
transcript/952,cltca
transcript/953,flna
transcript/954,tnksb
transcript/955,epha3
transcript/956,per1b
transcript/957,lrp6
transcript/958,dcaf1
transcript/959,kansl1a
transcript/960,thbs2b
transcript/961,synrg
transcript/962,rreb1b
transcript/963,2700081o15rik
transcript/964,adcy6b
transcript/965,kansl1a
transcript/966,tmem248
transcript/967,enschap00000047655
transcript/968,p2ry2.1
transcript/969,znf423
transcript/970,aglb
transcript/971,spire1b
transcript/972,klhl22
transcript/973,syn3
transcript/974,rb1cc1
transcript/975,paqr7b
transcript/976,lnpep
transcript/977,uso1
transcript/978,cdk13
transcript/979,kank1a
transcript/980,kank1a
transcript/981,itprid1
transcript/982,insrb
transcript/983,pcf11
transcript/984,erc1
transcript/985,c4b
transcript/986,sorbs2a
transcript/987,rin2
transcript/988,atp10a
transcript/989,sin3ab
transcript/990,abcc10
transcript/991,kidins220b
transcript/992,tnksb
transcript/993,scml2
transcript/994,hip1
transcript/995,atp11b
transcript/996,snrnp200
transcript/997,mical2a
transcript/998,enschap00000029610
transcript/999,nrxn1
transcript/1000,rbm14
transcript/1001,dip2ba
transcript/1002,phactr4a
transcript/1003,cyp2k1
transcript/1004,fam196b
transcript/1005,sorbs2a
transcript/1006,ptk7
transcript/1007,znf865
transcript/1008,ddr1
transcript/1009,6-Sep
transcript/1010,cul9
transcript/1011,chd4a
transcript/1012,cables1
transcript/1013,fam160b1
transcript/1014,tinagl1
transcript/1015,ppp1r13bb
transcript/1016,dennd11
transcript/1017,edc3
transcript/1018,cdk13
transcript/1019,bcl9l
transcript/1020,myom1b
transcript/1021,pbrm1l
transcript/1022,fasn
transcript/1023,enschap00000047655
transcript/1024,sash1b
transcript/1025,grin1b
transcript/1026,spire1b
transcript/1027,enschap00000017732
transcript/1028,cabz01009512.1
transcript/1029,enschap00000025387
transcript/1030,smg7
transcript/1031,hdlbpa
transcript/1032,ephb4a
transcript/1033,si:ch211-196h16.4
transcript/1034,cnksr2a
transcript/1035,si:ch211-196h16.4
transcript/1036,cluha
transcript/1037,camta1b
transcript/1038,ankfy1
transcript/1039,kif1b
transcript/1040,robo3
transcript/1041,ddr1
transcript/1042,rev1
transcript/1043,kidins220a
transcript/1044,zbtb21
transcript/1045,si:ch211-196h16.4
transcript/1046,gab2
transcript/1047,ppp1r13ba
transcript/1048,arhgef6
transcript/1049,zeb2a
transcript/1050,sema4d
transcript/1051,nrxn2
transcript/1052,sf3b1
transcript/1053,lats1
transcript/1054,ank3b
transcript/1055,trim24
transcript/1056,zeb2a
transcript/1057,ppp1r13ba
transcript/1058,pxnb
transcript/1059,garre1
transcript/1060,flnca
transcript/1061,myo19
transcript/1062,ppip5k1a
transcript/1063,gab2
transcript/1064,phldb2b
transcript/1065,sema4d
transcript/1066,sorbs2a
transcript/1067,smg5
transcript/1068,zeb2a
transcript/1069,znf687a
transcript/1070,btbd11b
transcript/1071,enschap00000000305
transcript/1072,ppp6r2a
transcript/1073,zgc:77151
transcript/1074,chd7
transcript/1075,abcc3
transcript/1076,grm1b
transcript/1077,fam196b
transcript/1078,adcy7
transcript/1079,ubash3ba
transcript/1080,ap2a2
transcript/1081,epha3
transcript/1082,myom1b
transcript/1083,ptpn5
transcript/1084,ogdhb
transcript/1085,sema4d
transcript/1086,enschap00000047655
transcript/1087,atp2b3a
transcript/1088,tmem248
transcript/1089,zmat3
transcript/1090,itprid1
transcript/1091,znf335
transcript/1092,fbxo41
transcript/1093,enschap00000017762
transcript/1094,trpv4
transcript/1095,rai2
transcript/1096,acap2
transcript/1097,znf687a
transcript/1098,vwf
transcript/1099,spire1a
transcript/1100,fam122a
transcript/1101,safb
transcript/1102,grm2b
transcript/1103,rorca
transcript/1104,auts2a
transcript/1105,grm3
transcript/1106,trim3b
transcript/1107,adgrl2b.1
transcript/1108,polr3a
transcript/1109,safb
transcript/1110,cadpsb
transcript/1111,ache
transcript/1112,kif19
transcript/1113,enschap00000057702
transcript/1114,epb41l3b
transcript/1115,usp47
transcript/1116,atp2b3a
transcript/1117,si:dkey-23k10.5
transcript/1118,sec24c
transcript/1119,brip1
transcript/1120,hdlbpa
transcript/1121,enschap00000016476
transcript/1122,slc4a10b
transcript/1123,sall2
transcript/1124,gcn1
transcript/1125,rasal2
transcript/1126,lo017802.1
transcript/1127,grm2b
transcript/1128,tshz3b
transcript/1129,kdm5bb
transcript/1130,enschap00000016476
transcript/1131,brip1
transcript/1132,ppp1r13bb
transcript/1133,slc25a29
transcript/1134,enschap00000053792
transcript/1135,dbnla
transcript/1136,tnk2a
transcript/1137,dcaf1
transcript/1138,clcn1a
transcript/1139,hdlbpa
transcript/1140,appb
transcript/1141,rb1cc1
transcript/1142,arhgap5
transcript/1143,pus3
transcript/1144,znf646
transcript/1145,ncam1a
transcript/1146,dima
transcript/1147,nup155
transcript/1148,cdk12
transcript/1149,ano11
transcript/1150,fam168a
transcript/1151,loc102634333
transcript/1152,zscan29
transcript/1153,si:dkey-89b17.4
transcript/1154,dennd3a
transcript/1155,thoc2
transcript/1156,myom1b
transcript/1157,grm1b
transcript/1158,depdc5
transcript/1159,ppp1r13ba
transcript/1160,eif4g3b
transcript/1161,fem1c
transcript/1162,smurf2
transcript/1163,myha
transcript/1164,cadpsb
transcript/1165,six5
transcript/1166,abcc3
transcript/1167,cep152
transcript/1168,aglb
transcript/1169,zc3h4
transcript/1170,ncam1a
transcript/1172,plcl2
transcript/1173,pank1
transcript/1174,cabz01032476.1
transcript/1175,sorbs2a
transcript/1176,irs4
transcript/1177,kif20bb
transcript/1178,trim24
transcript/1179,zeb2a
transcript/1180,si:ch211-203d1.3
transcript/1181,mkl1
transcript/1182,socs6a
transcript/1183,sbno1
transcript/1184,rbm14
transcript/1185,ppp1r13ba
transcript/1186,sec31b
transcript/1187,ddr1
transcript/1188,myha
transcript/1189,tmem248
transcript/1190,rbms1
transcript/1191,si:ch211-196h16.4
transcript/1192,lemd3
transcript/1193,stag1a
transcript/1194,polr1a
